x,y,domain,plot
-2.6929397583007812,-39.843074798583984,Source,a
1.650611162185669,-38.72351837158203,Source,a
0.751950204372406,-37.26832962036133,Source,a
-0.1648632287979126,-35.420074462890625,Source,a
-1.540456771850586,-36.001564025878906,Source,a
0.3711886703968048,-36.88376998901367,Source,a
0.007396239787340164,-36.31315231323242,Source,a
0.8011896014213562,-38.35809326171875,Source,a
1.6116995811462402,-36.15223693847656,Source,a
-0.4307251274585724,-33.3090934753418,Source,a
1.460411548614502,-37.08012008666992,Source,a
1.8487300872802734,-39.054744720458984,Source,a
0.7592120170593262,-35.657684326171875,Source,a
-1.8937146663665771,-40.06978988647461,Source,a
-0.09656545519828796,-35.85852813720703,Source,a
2.3115055561065674,-34.64116668701172,Source,a
0.2368416041135788,-35.02839279174805,Source,a
-1.6845991611480713,-39.52110290527344,Source,a
0.8959639072418213,-34.97720718383789,Source,a
2.0246965885162354,-34.46983337402344,Source,a
-1.1852149963378906,-33.77191925048828,Source,a
1.0614683628082275,-34.80100631713867,Source,a
-0.5373967885971069,-33.95378494262695,Source,a
0.4584447741508484,-33.69248962402344,Source,a
-0.07991375029087067,-34.29833221435547,Source,a
1.872941493988037,-34.87575912475586,Source,a
-0.1946600079536438,-35.54558181762695,Source,a
0.025380080565810204,-35.70945739746094,Source,a
0.935708224773407,-34.6109733581543,Source,a
0.9260984659194946,-34.558204650878906,Source,a
2.2193350791931152,-34.65801239013672,Source,a
1.0610982179641724,-35.88549041748047,Source,a
-0.24625495076179504,-33.66865158081055,Source,a
0.3629566431045532,-34.27595138549805,Source,a
0.35381361842155457,-36.819583892822266,Source,a
1.819671869277954,-37.59004211425781,Source,a
1.4156299829483032,-36.302181243896484,Source,a
1.1859925985336304,-34.35657501220703,Source,a
0.3898199498653412,-35.08427429199219,Source,a
-0.6626432538032532,-34.04386901855469,Source,a
2.1277310848236084,-36.36457824707031,Source,a
-2.369807243347168,-40.29094696044922,Source,a
0.7933779358863831,-37.707862854003906,Source,a
-0.8188576102256775,-34.14986038208008,Source,a
-1.1788620948791504,-35.099754333496094,Source,a
-0.9749412536621094,-35.9478759765625,Source,a
-0.5754721760749817,-36.14929962158203,Source,a
-1.7578582763671875,-35.961387634277344,Source,a
-0.13811929523944855,-35.796241760253906,Source,a
1.8227375745773315,-38.67287826538086,Source,a
7.670569896697998,43.70249557495117,Source,a
7.707902431488037,42.846275329589844,Source,a
9.261377334594727,45.53098678588867,Source,a
16.08412742614746,39.7081298828125,Source,a
15.982398986816406,40.335575103759766,Source,a
7.891843318939209,42.77470016479492,Source,a
8.78778076171875,43.539546966552734,Source,a
10.745848655700684,44.30135726928711,Source,a
10.007306098937988,43.183956146240234,Source,a
10.255945205688477,45.55577087402344,Source,a
9.261277198791504,42.85960388183594,Source,a
8.608779907226562,44.945838928222656,Source,a
8.212669372558594,42.67929458618164,Source,a
10.343292236328125,43.69646453857422,Source,a
8.248217582702637,44.091182708740234,Source,a
8.53377914428711,44.719085693359375,Source,a
8.351832389831543,43.863529205322266,Source,a
10.412358283996582,44.48110580444336,Source,a
10.27507495880127,45.54188919067383,Source,a
7.669600486755371,44.386474609375,Source,a
9.553678512573242,43.53453063964844,Source,a
16.56180763244629,40.214927673339844,Source,a
7.944024562835693,43.44266128540039,Source,a
8.22747802734375,45.39151382446289,Source,a
8.565962791442871,42.65678405761719,Source,a
8.944657325744629,45.68605422973633,Source,a
9.613322257995605,45.33282470703125,Source,a
10.82522201538086,45.29924011230469,Source,a
8.348592758178711,45.34263229370117,Source,a
8.140393257141113,42.65210723876953,Source,a
10.715216636657715,44.01383590698242,Source,a
7.730794429779053,43.84535598754883,Source,a
9.151667594909668,46.2318000793457,Source,a
10.89931583404541,43.69489288330078,Source,a
10.630788803100586,43.75258255004883,Source,a
10.675506591796875,44.92879104614258,Source,a
7.932122707366943,43.994869232177734,Source,a
8.809107780456543,45.559391021728516,Source,a
8.806350708007812,44.659828186035156,Source,a
9.605034828186035,46.01150894165039,Source,a
9.617959976196289,46.45395278930664,Source,a
10.459695816040039,45.8392219543457,Source,a
8.10646915435791,44.7851448059082,Source,a
8.033249855041504,42.9975471496582,Source,a
7.872495174407959,44.553749084472656,Source,a
9.851951599121094,45.77128982543945,Source,a
10.346234321594238,44.45264434814453,Source,a
10.272344589233398,43.264957427978516,Source,a
16.297407150268555,39.820560455322266,Source,a
9.050060272216797,44.971923828125,Source,a
39.354801177978516,-30.215917587280273,Source,a
40.98328399658203,-32.237876892089844,Source,a
41.36664962768555,-31.273456573486328,Source,a
40.60373306274414,-30.647438049316406,Source,a
39.65475845336914,-30.424489974975586,Source,a
